Code,Meaning,Phase,Preconditions,Postconditions,Source,confidence,example_line,note
M3,Exists to make the torch operation compatible with some typical Cam packages.  M3 calls M15 in the background and turns the torch on.  Do not use it unless necessary.,cut,Torch path ready; use only for CAM compatibility mode.,Torch-on behavior triggered via M15 compatibility path.,operator_note,inferred,M3,We will not need this
M5,Exists to make the torch operation compatible with some typical Cam packages.  M5 calls M16 in the background and turns the torch off.  Do not use it unless necessary. ,cut,Torch currently on; CAM compatibility mode in use.,Torch-off behavior triggered via M16 compatibility path.,operator_note,inferred,M5,We will not need this
"M7, M8, M9",Exist as part of the standard Centroid install and they manage the coolant system.  M7 turns on Air Blow and M9 turns it off.  M8 is not used on any machines as of this writing. ,auxiliary,Machine has coolant/air-blow hardware configured.,Coolant/air-blow state changed per command.,operator_note,inferred,M7,we will not be using coolant
"M10, M11","Clamp and Unclamp the material hold down usually found up near the torch.  Also, will fire the Scriber down/up on the 2100- series machines if so equipped.  Often toggles on Aux 4. ",clamping,Material positioned; clamp zone clear.,Clamp/scriber actuator toggled (machine-dependent).,operator_note,inferred,M10,we will not be scribing
M14,"A special version of the M15, torch ignition, that does not wait for the cutting arc to transfer prior to permitting the machine to resume motion.  It is primarily used on open profiles (angle and C-channel) where an edge start is required but due to material tolerance there may not actually be material near enough the pilot arc to transfer the cutting arc.  In this case the machine just “goes for it” and the net gain in reliability is significant.  There is a “/” in front of M14’s and M15’s.  It makes the ignition subject to the control’s Block Skip function found under the F4-Run Menu and enables the operator to do a dry run without the torch firing.  Read the Centroid manual for further explanation. ",pierce,Edge-start/open profile where arc-transfer wait may fail.,Ignition issued without waiting for transferred arc.,manual,likely,M14,
"M15, M16",Start and stop the torch respectively.  There is a “/” in front of the M14’s and M15’s.  It makes the ignition subject to the control’s Block Skip function.  F4-Run Menu: F4-SkipsON and enables the operator to do a dry run without the torch firing.  Pressing F4 a 2nd time will toggle the function OFF. ,cut,Cut start/stop point and ignition interlocks are valid.,Torch state toggled for cut sequence.,manual,likely,M15,
"M17, M18","These are used in the Scribing Operation to both extend and retract the scribe, lower and raise the scribe, and to apply a temporary G92 offset.   You may note the M10 and M11 are used inside of M17 and M18.  *** SIMUH***",scribing,Scribing process selected and scribe hardware installed.,Scribe extended/retracted and temporary offsets handled.,operator_note,inferred,M17,we will not be scribing
M25,"Raise the torch (servo- based Z-Axis) to the Z value of the G28 position.  It is the equivalent of the Tool Check button on the pendent.  This is a great standard Centroid feature and operators should take advantage of it to protect the torch during setups, manual loading, and interrupting a regular operation. ",safety,Need protected/tool-check torch raise state.,Torch raised to configured G28/tool-check position.,manual,likely,M25,
M31,Triggers the cam- based tube loader/indexer on the auto-loading machines.  This is the equivalent of the AUX-4 button.  ,loading,Auto-loader/indexer installed and enabled.,Tube loader/indexer cycle fired.,operator_note,likely,M31,
M32,Incorporates the M31 into a larger material load and stage routine.  It requires customization for different length machines and should be considered a specialized tool for special events.  Do not fool with it if you do not know what you are doing. ,loading,Machine-specific load routine is configured for this length.,Material load/stage macro sequence executed.,mixed,likely,M32,
M44,"Checks to see if there is material staged in an inbound chute so that the auto- load cycle may continue or to trigger a warning light if the machine is waiting for material in some automatic cycles.  It incorporates M76/M77, an air blast, to blow off dirt such that so the sensor does not foul. ",sensing,Auto-load sensor logic active; material staging expected.,Material-staged check evaluated; warning/continue path selected.,operator_note,likely,M44,
"M46, M47",Lowers and Raises (engages and disengages) the optional printing head.  The solenoid triggered is usually in the main bank with its own pressure regulator.  This regulator controls the downward pressure of the print head stop on the material in the machine.  There is a separate regulator that controls the amount of air pressure going to the needle in the print head.  There are settings in the printer control module that control the density of the printing. ,auxiliary,Printer head option installed and pressure set.,Printer head engaged/disengaged.,operator_note,likely,M46,
M54,"Is a dummy file with no standardized purpose, but sometimes is involved in manipulations WCS. ",unknown,Only in programs that intentionally repurpose M54.,No standard guaranteed effect; implementation-specific.,mixed,unknown,M54,
M55,"It is a complex code used exclusively on the Angle-Chanel Processing Center to calculate G55, the scribe torch offset, from G54 that was setup by the operator from the main torch. ",setup,Angle-channel center setup completed from main torch.,G55 scribe offset calculated from G54 context.,mixed,likely,M55,
"M62, M63",Raises and lowers lift #1 on auto -loading machines.   This is the one nearest the torch.  In standard operation the lift is lowered by the PLC from the background. ,loading,Auto-load lift #1 available and safe to actuate.,Lift #1 moved up/down.,operator_note,likely,M62,
"M64, M65","Raises and lowers lift #2 on auto-loading machines.  It is also used on short machines with only 1 lift to support the middle of small diameter material.  In standard operation the lift is lowered by the PLC from the background.  In some applications with non-roundmaterial, “wait for input-X” gets commented out.  The 2100- series machines only have Lifts #2 and #3. ",loading,Auto-load lift #2 available and safe to actuate.,Lift #2 moved up/down.,operator_note,likely,M64,
"M66, M67",Raises and lowers lift #3 on auto-loading machines.  In standard operation the lift is lowered by the PLC from the background.  The 2100 series2100-series machines have only lifts #2 and #3. ,loading,Auto-load lift #3 available and safe to actuate.,Lift #3 moved up/down.,operator_note,likely,M66,
"M68, M69",Raises and lowers lift #4 on auto-loading machines.  In standard operation the lift is lowered by the PLC from the background. ,loading,Auto-load lift #4 available and safe to actuate.,Lift #4 moved up/down.,operator_note,likely,M68,
"M70, M71",Raises and lowers the torch if it is on a pneumatic Z-actuator.  It sometimes incorporates the M10/M11.  On machines with servo driven Z-Axis it has no practical effect on operation. ,setup,Pneumatic torch lift configuration (or compatibility call).,Torch pneumatic lift moved up/down (if present).,operator_note,likely,M70,
"M72, M73",Raises and lowers lift #5 or #6 on auto-loading machines equipped with them.  In standard operation the lift is lowered by the PLC from the background. ,loading,Machine equipped with lift #5/#6 functions.,Lift #5/#6 moved up/down (if equipped).,operator_note,likely,M72,
"M74, M75",Opens and closes the primary chuck,clamping,Primary chuck hardware available and homed.,Primary chuck opened/closed.,manual,confirmed,M74,
"M76, M77",turns the part sensor air blast on and off,sensing,Part sensor/air-blast circuit available.,Part-sensor air blast toggled on/off.,manual,confirmed,M76,
"M78, M79",All part loading lifts up and down. ,loading,Lift-bank command enabled for all loading lifts.,All loading lifts commanded up/down.,operator_note,likely,M78,
M82,"A complex code that fires the cam indexer (M31), raises all the lifts raises the material clamp (M10) and raises the Torch (M70 and or M25). ",loading,Auto-load cycle context; indexer/lifts/clamp logic valid.,Combined auto-load macro actions executed.,mixed,likely,M82,
M84,series machines when using PieceMaker 5.2.6 or newer. ,unknown,Only where site-specific macro defines behavior.,Machine/site-specific macro action executed.,mixed,unknown,M84,
"M86, M87",Extends and retracts a part ejector pin on some models,material_handling,Ejector pin option installed and part-handling state valid.,Ejector pin extended/retracted.,operator_note,likely,M86,
